[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
